flye,hybridspades,metaflye_nextpolish,metamdbg,metamdbg_nextpolish,myloasm,myloasm_nextpolish,opera_ms
Ruminococcus_C callidus,Gemmiger sp900539695,Blautia_A acetigignens,Phocaeicola dorei,Roseburia rectibacter,Parabacteroides distasonis,Coprococcus aceti,Lachnospira sp000436475
Fimenecus sp000432435,Evtepia sp004556345,Otoolea sp000435655,Choladousia sp902363135,Eubacterium_I ramulus,Collinsella sp905215135,CAG-245 sp000435175,Hominicoprocola fusiformis
RGIG3102 sp934526065,Phascolarctobacterium faecium,Gemmiger sp900539695,Hominicoprocola fusiformis,CAG-269 sp000437215,Mediterraneibacter faecis,Gemella sanguinis,Choladousia sp902363135
Collinsella sp027669365,CAG-882 sp900545175,Evtepia sp004556345,Vescimonas coprocola,Coprococcus aceti,Blautia_A obeum,Faecalibacterium prausnitzii,Vescimonas coprocola
Coprobacillus cateniformis,Eubacterium_F sp003491505,Phascolarctobacterium faecium,Prevotella sp900548745,Oliverpabstia intestinalis,Laedolimicola intestinihominis,Otoolea sp000435655,Prevotella sp900548745
Parasutterella gallistercoris,Blautia_A sp900120195,CAG-882 sp900545175,Klebsiella pneumoniae,CAG-245 sp000435175,Hominenteromicrobium mulieris,Vescimonas sp900545585,Klebsiella pneumoniae
CAG-302 sp900543825,CAG-492 sp000434335,HGM13006 sp900757695,Roseburia inulinivorans,Mediterraneibacter lactaris,UBA10677 sp003533505,Evtepia sp004556345,Roseburia inulinivorans
Muricoprocola shaoxingensis,Jutongia sp003524945,Bariatricus comes,Pararoseburia lenta,Blautia_A acetigignens,Agathobaculum butyriciproducens,Phascolarctobacterium faecium,Pararoseburia lenta
Blautia_A intestinihominis,Rothia mucilaginosa_D,CAG-492 sp000434335,Pilosibacter fragilis,Gemmiger sp900539695,Dialister sp000434475,CAG-882 sp900545175,Pilosibacter fragilis
Faecalibacterium prausnitzii_E,UMGS1071 sp900542375,Blautia_A sp900120195,Blautia_A sp005848555,Evtepia sp004556345,Mailhella sp944324615,Ventricola sp900542395,Blautia_A sp005848555
Faecalibacillus intestinalis,Bariatricus comes,Jutongia sp003524945,CAG-170 sp002404795,Phascolarctobacterium faecium,Bilophila wadsworthia,Eubacterium_F sp003491505,CAG-170 sp002404795
Enterocloster sp000431375,Hominiventricola filiformis,UMGS1071 sp900542375,CAG-103 sp900543625,CAG-882 sp900545175,Anthropogastromicrobium aceti,HGM13006 sp900757695,CAG-103 sp900543625
