metaflye_2_8_3_contamination,metaflye_2_8_3_sr_contamination,metaflye_2_9_6_contamination,metaflye_2_9_6_sr_contamination,metaMDBG_contamination,metaMDBG_sr_contamination,myloasm_contamination,myloasm_sr_contamination,opera_ms_contamination,raven_contamination,raven_sr_contamination,hybridspades_contamination
3.05,1.33,6.51,1.43,3.54,6.65,4.76,3.8,7.4,9.69,5.98,0.05
4.09,0.3,3.14,0.11,8.89,0.4,3.46,0.17,1.07,6.2,8.08,0.32
5.6,0.86,2.68,3.43,4.41,5.29,4.22,0.24,3.42,3.98,6.94,0.4
0.25,5.94,5.06,1.72,3.28,3.57,3.59,2.45,2.19,3.25,7.97,3.41
3.99,2.08,3.63,1.54,9.06,1.99,8.68,0.0,3.65,3.5,6.94,0.89
4.44,9.42,1.64,1.92,8.88,3.03,5.71,8.0,4.78,3.51,4.0,1.61
6.48,4.72,3.27,4.42,2.48,1.28,0.11,1.48,4.38,4.71,7.81,0.33
3.17,0.32,6.33,3.41,3.46,2.53,4.45,6.8,1.1,5.87,0.35,6.5
5.67,0.26,2.73,3.42,4.75,2.8,3.47,1.3,3.27,2.39,2.0,3.45
5.4,2.78,0.32,5.01,4.5,5.98,6.62,0.9,0.83,4.13,0.65,1.95
7.3,0.15,7.31,4.2,4.11,3.21,3.18,1.24,3.57,,5.9,1.66
0.91,2.66,4.66,2.79,5.43,5.22,2.75,7.53,5.47,,0.55,0.71
6.56,0.46,2.45,6.2,5.81,1.76,4.55,6.44,3.42,,4.33,0.03
6.04,0.33,2.54,0.9,7.91,2.69,0.5,4.2,2.64,,3.62,2.76
0.52,0.11,0.77,1.94,1.64,0.39,2.62,0.62,3.45,,4.31,5.9
3.84,0.32,4.76,4.88,2.25,1.08,5.33,1.1,0.36,,0.09,0.1
2.19,0.55,2.85,0.46,7.29,0.05,7.19,0.95,0.56,,2.02,4.7
4.98,2.42,5.33,1.94,4.67,2.05,4.96,2.79,2.72,,1.67,1.29
7.06,4.13,4.32,1.4,2.07,4.83,1.22,0.34,1.23,,2.22,0.18
1.1,0.37,1.37,4.74,3.47,2.79,7.22,1.49,5.77,,4.56,0.02
0.22,5.26,4.05,2.91,1.3,2.35,3.79,2.4,2.16,,2.17,0.02
4.55,2.13,7.65,0.33,2.09,6.59,4.97,0.29,2.99,,1.59,0.18
0.76,0.24,0.6,3.32,0.29,2.54,4.89,1.01,3.06,,4.63,2.7
9.54,0.1,0.92,2.75,1.98,4.64,3.38,0.97,5.32,,1.45,1.12
6.4,4.65,3.81,0.05,5.51,1.13,3.76,9.27,3.76,,0.47,0.98
3.02,0.29,3.04,3.43,6.8,2.21,7.72,0.66,0.14,,3.89,0.35
0.16,2.08,2.3,3.75,2.67,3.37,1.47,0.05,1.46,,3.32,0.04
3.52,3.33,7.6,2.81,2.23,9.4,8.38,2.63,2.98,,2.42,1.39
1.73,0.08,0.4,1.87,2.3,0.46,4.89,7.94,1.03,,4.23,1.69
3.15,4.2,1.78,0.69,0.7,2.84,5.85,2.44,2.42,,0.32,1.24
5.73,0.36,5.07,0.37,5.43,2.6,9.95,2.64,1.56,,3.51,0.5
1.93,0.19,3.55,0.06,1.8,0.52,4.03,0.69,7.21,,0.1,0.29
2.99,4.4,1.69,4.15,5.12,4.52,2.02,5.67,2.7,,3.36,3.35
4.32,0.16,5.33,0.0,2.88,2.45,3.39,3.4,3.2,,4.7,0.25
2.0,1.41,3.03,0.21,3.69,6.8,6.62,0.96,1.3,,1.47,0.19
0.59,2.19,6.34,1.37,0.83,1.01,2.95,0.23,1.48,,7.57,0.84
1.16,4.95,9.01,9.16,3.44,0.83,5.07,0.75,0.52,,2.15,1.8
0.28,2.72,1.31,1.1,6.49,1.4,0.15,3.67,0.15,,0.4,6.55
9.38,3.37,6.13,0.0,1.0,4.58,7.4,2.45,0.39,,3.71,1.65
0.71,4.37,5.97,2.28,4.97,2.48,4.65,1.57,2.23,,4.09,0.52
1.33,0.71,6.03,8.04,5.72,2.78,3.46,9.31,0.0,,0.01,2.28
2.68,3.9,3.61,4.35,1.56,8.47,3.33,3.59,0.7,,4.88,0.42
5.9,0.6,2.45,1.54,1.09,2.09,0.93,4.84,0.25,,6.8,8.75
3.26,0.18,1.84,0.52,6.3,4.14,0.4,0.3,2.57,,2.92,0.33
3.39,0.58,2.99,3.03,6.85,1.5,0.26,2.58,2.85,,0.14,1.84
2.26,0.57,2.42,0.31,2.0,1.37,0.47,7.27,0.0,,0.17,1.7
5.9,6.07,3.84,2.61,1.4,1.95,0.26,1.71,2.64,,1.75,2.07
0.36,1.95,2.81,3.26,1.12,0.4,3.09,2.15,0.48,,1.49,3.21
2.56,0.67,4.76,9.04,0.28,3.1,1.61,3.32,0.08,,5.1,4.27
